epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,625.081,0.30332,0.5731,0.31997,0.85789,0,0.9672,0.91905,0.92743,0.91783,0.9672,0.91905,0.92281,0.91428,0.19962,0.64677,0.24546,0.77683,0,0.000594321,0.000594321,0.000594321
61,635.204,0.30168,0.57556,0.32766,0.85213,0,0.96738,0.91905,0.92848,0.92373,0.96738,0.91905,0.92694,0.92068,0.20523,0.72857,0.25032,0.7777,0,0.000580174,0.000580174,0.000580174
62,645.673,0.31419,0.63846,0.32126,0.85066,0,0.95824,0.91905,0.9305,0.92318,0.95824,0.91905,0.9282,0.92255,0.22034,0.6791,0.24816,0.78566,0,0.000566027,0.000566027,0.000566027
63,658.798,0.30138,0.59789,0.30536,0.85607,0,0.9724,0.91534,0.92317,0.91943,0.9724,0.91534,0.92014,0.91251,0.21751,0.5242,0.25257,0.78943,0,0.00055188,0.00055188,0.00055188
64,666.353,0.29676,0.58617,0.2954,0.85106,0,0.95641,0.91905,0.91454,0.90858,0.95641,0.91905,0.91454,0.90721,0.23075,0.66353,0.25765,0.79346,0,0.000537733,0.000537733,0.000537733
65,670.841,0.29989,0.7065,0.31085,0.84958,0,0.95819,0.91905,0.92091,0.9179,0.95819,0.91905,0.92091,0.91239,0.20828,0.60087,0.24065,0.79123,0,0.000523586,0.000523586,0.000523586
66,683.125,0.28326,0.62143,0.30016,0.84467,0,0.95997,0.91905,0.92873,0.92493,0.95997,0.91905,0.92873,0.91956,0.21097,0.63804,0.22575,0.78998,0,0.000509438,0.000509438,0.000509438
67,690.032,0.27092,0.66681,0.29223,0.83815,0,0.97237,0.91613,0.92723,0.92017,0.97237,0.91613,0.92472,0.91636,0.21004,0.72123,0.22078,0.78684,0,0.000495291,0.000495291,0.000495291
68,703.669,0.28786,0.79998,0.29586,0.85117,0,0.94514,0.94127,0.93167,0.92839,0.94514,0.94127,0.92904,0.92155,0.20962,0.82743,0.22712,0.78364,0,0.000481144,0.000481144,0.000481144
69,713.354,0.29429,0.64404,0.30116,0.85486,0,0.96536,0.91905,0.92168,0.91567,0.96536,0.91905,0.92168,0.90286,0.21443,0.87258,0.21591,0.78859,0,0.000466997,0.000466997,0.000466997
70,724.4,0.27032,0.57727,0.3024,0.84309,0,0.95825,0.91905,0.93095,0.92118,0.95825,0.91905,0.92574,0.91787,0.18289,0.75613,0.23013,0.78142,0,0.00045285,0.00045285,0.00045285
71,737.072,0.26191,0.49241,0.30306,0.84611,0,0.96875,0.91905,0.92591,0.9202,0.96875,0.91905,0.92085,0.91108,0.1952,0.79466,0.2321,0.78805,0,0.000438703,0.000438703,0.000438703
72,744.963,0.27162,0.57489,0.29583,0.83384,0,0.96117,0.91905,0.92741,0.91858,0.96117,0.91905,0.91941,0.91165,0.19016,0.7131,0.2313,0.78066,0,0.000424556,0.000424556,0.000424556
73,759.859,0.26253,0.53153,0.29104,0.83451,0,0.96023,0.91905,0.92348,0.91262,0.96023,0.91905,0.92112,0.91293,0.19512,0.79422,0.22494,0.77567,0,0.000410409,0.000410409,0.000410409
74,766.176,0.26869,0.64976,0.28123,0.84474,0,0.96001,0.91905,0.9257,0.91818,0.96001,0.91905,0.92374,0.91199,0.19006,0.59514,0.21854,0.78031,0,0.000396262,0.000396262,0.000396262
75,782.003,0.26933,0.48305,0.28853,0.8435,0,0.96807,0.91905,0.91707,0.91467,0.96807,0.91905,0.91707,0.91119,0.20794,0.7592,0.20796,0.7852,0,0.000382115,0.000382115,0.000382115
76,790.926,0.26645,0.77522,0.28857,0.84333,0,0.96446,0.91905,0.92249,0.91897,0.96446,0.91905,0.92249,0.91197,0.16188,0.55531,0.2321,0.75918,0,0.000367967,0.000367967,0.000367967
77,802.98,0.26175,0.52591,0.28299,0.84049,0,0.94804,0.92914,0.92099,0.9182,0.94804,0.92914,0.92099,0.91298,0.20063,0.52895,0.22306,0.78604,0,0.00035382,0.00035382,0.00035382
78,807.52,0.24423,0.52925,0.26063,0.8221,0,0.95953,0.91905,0.91775,0.91423,0.95953,0.91905,0.91775,0.90898,0.19975,0.61829,0.20006,0.79196,0,0.000339673,0.000339673,0.000339673
79,820.884,0.29026,0.55745,0.28768,0.8569,0,0.96169,0.91905,0.92324,0.91979,0.96169,0.91905,0.91897,0.91108,0.1875,0.56262,0.19939,0.78759,0,0.000325526,0.000325526,0.000325526
80,828.225,0.27052,0.62582,0.2794,0.84726,0,0.96474,0.91905,0.92705,0.92534,0.96474,0.91905,0.92705,0.9219,0.19273,0.71311,0.19963,0.78827,0,0.000311379,0.000311379,0.000311379
81,832.74,0.25109,0.42864,0.26929,0.83191,0,0.96052,0.9227,0.92873,0.92515,0.96052,0.9227,0.92575,0.91863,0.1801,0.70245,0.22526,0.77435,0,0.000297232,0.000297232,0.000297232
82,848.886,0.25342,0.5243,0.27513,0.82355,0,0.96104,0.9212,0.92409,0.92022,0.96104,0.9212,0.92409,0.91768,0.18537,0.56625,0.21431,0.787,0,0.000283085,0.000283085,0.000283085
83,856.109,0.23993,0.55309,0.25961,0.82422,0,0.96584,0.91905,0.92337,0.91952,0.96584,0.91905,0.92337,0.9064,0.17886,0.81851,0.22113,0.7746,0,0.000268938,0.000268938,0.000268938
84,869.617,0.24165,0.57518,0.26962,0.83871,0,0.96303,0.91905,0.92494,0.91776,0.96303,0.91905,0.92494,0.91998,0.20039,0.51516,0.20645,0.78995,0,0.000254791,0.000254791,0.000254791
85,874.188,0.27362,0.52861,0.2902,0.86258,0,0.96081,0.9204,0.92872,0.92454,0.96081,0.9204,0.92872,0.92269,0.16196,0.40001,0.23145,0.75685,0,0.000240644,0.000240644,0.000240644
86,886.486,0.24677,0.48762,0.25663,0.83158,0,0.95723,0.92851,0.92817,0.92057,0.95723,0.92851,0.92466,0.91862,0.15692,0.35788,0.23246,0.76019,0,0.000226497,0.000226497,0.000226497
87,894.992,0.24656,0.53937,0.25851,0.83816,0,0.96986,0.91905,0.93154,0.92482,0.96986,0.91905,0.925,0.91868,0.17422,0.71281,0.20139,0.78333,0,0.000212349,0.000212349,0.000212349
88,899.49,0.25754,0.50514,0.26517,0.8533,0,0.96897,0.91905,0.93123,0.92193,0.96897,0.91905,0.92428,0.9158,0.17938,0.55394,0.19856,0.78454,0,0.000198202,0.000198202,0.000198202
89,915.463,0.24597,0.46788,0.25399,0.8455,0,0.95725,0.92811,0.92301,0.9216,0.95725,0.92811,0.92301,0.91634,0.15386,0.63457,0.21149,0.75539,0,0.000184055,0.000184055,0.000184055
90,922.725,0.23664,0.55993,0.252,0.83377,0,0.96159,0.91905,0.9282,0.92303,0.96159,0.91905,0.92587,0.92021,0.14898,0.57963,0.20776,0.75491,0,0.000169908,0.000169908,0.000169908
91,938.216,0.18814,0.49211,0.19775,0.79477,0,0.97127,0.91905,0.92398,0.92017,0.97127,0.91905,0.92044,0.90764,0.16175,0.68611,0.2144,0.75565,0,0.000155761,0.000155761,0.000155761
92,942.716,0.19278,0.41894,0.19337,0.79457,0,0.97043,0.91905,0.9252,0.92083,0.97043,0.91905,0.92098,0.91473,0.15897,0.34889,0.20472,0.77201,0,0.000141614,0.000141614,0.000141614
93,959.295,0.18446,0.41254,0.19749,0.79086,0,0.96135,0.91886,0.92087,0.91945,0.96135,0.91886,0.92087,0.9137,0.1763,0.75545,0.20082,0.78857,0,0.000127467,0.000127467,0.000127467
94,966.74,0.17205,0.46694,0.1987,0.7919,0,0.96039,0.92068,0.92394,0.92237,0.96039,0.92068,0.92394,0.91633,0.16179,0.87451,0.21029,0.77011,0,0.00011332,0.00011332,0.00011332
95,979.981,0.1687,0.44186,0.19564,0.78137,0,0.9604,0.92064,0.92394,0.92237,0.9604,0.92064,0.92394,0.91783,0.16636,0.80872,0.20475,0.77819,0,9.91726e-05,9.91726e-05,9.91726e-05
96,989.926,0.16895,0.41513,0.19953,0.77789,0,0.9654,0.91765,0.9242,0.92271,0.9654,0.91765,0.9242,0.91937,0.14904,0.72204,0.22195,0.75544,0,8.50255e-05,8.50255e-05,8.50255e-05
97,1000.65,0.1625,0.54404,0.1935,0.78447,0,0.96673,0.91869,0.93167,0.92576,0.96673,0.91869,0.92688,0.92019,0.1473,0.73459,0.21588,0.7548,0,7.08784e-05,7.08784e-05,7.08784e-05
98,1005.17,0.17376,0.45511,0.18098,0.78926,0,0.96658,0.91905,0.92928,0.92396,0.96658,0.91905,0.92398,0.91669,0.14687,0.752,0.20263,0.75977,0,5.67313e-05,5.67313e-05,5.67313e-05
99,1019.66,0.17161,0.39983,0.182,0.77636,0,0.96521,0.91649,0.92888,0.92382,0.96521,0.91649,0.92398,0.91665,0.15634,0.79117,0.18594,0.77822,0,4.25842e-05,4.25842e-05,4.25842e-05
100,1026.12,0.16315,0.37534,0.18304,0.78112,0,0.96497,0.91688,0.92487,0.9233,0.96497,0.91688,0.92487,0.9189,0.16238,0.80971,0.17896,0.78878,0,2.84371e-05,2.84371e-05,2.84371e-05
